name,rating,minimum_clean,description_clean,primary_cuisine_group
mit&ohne kebab - HB,4.0,15.0,kebab,middle_eastern
Black Tap Craft Burgers & Beer Zurich,4.3,18.0,"amerikanisch, burger",american
Bierhalle Wolf,4.1,18.0,"snacks, getränke snacks",other
MrBeast Burger© Zürich,3.3,30.0,"snacks, amerikanisch",american
Starbucks Limmatstrasse,3.8,0.0,"frühstück, kaffee",other
McDonald's® Zürich Löwenstrasse,4.1,18.0,"amerikanisch, burger",american
Holy Cow! Gourmet Burger Co. ZÜRICH ZÄHRINGERSTRASSE,4.7,18.0,"snacks, burger",american
Sora,3.7,18.0,"sushi, japanisch",asian
Janni Pizzakurier Zürich,4.9,20.0,"italienische pizza, pasta",european
KAIMUG,4.0,18.0,"asiatisch, vegetarisch",asian
SUBWAY Zürich HB,4.1,18.0,"snacks, sandwiches",american
Nelson's Kitchen,4.4,18.0,"amerikanisch, burger",american
Action Burger,4.3,18.0,burger,american
CORSA,5.0,18.0,"frühstück, pasta",european
China Restaurant Chopstick,4.0,18.0,"chinesisch, vegetarisch",asian
Suan Long,4.1,18.0,"thailändisch, asiatisch",asian
BURGER KING ® Zürich Gleis 18,3.9,18.0,"amerikanisch, burger",american
San Gennaro - Löwenstrasse,4.0,18.0,italienische pizza,european
Konshi - Asia Kitchen & Sushi,4.0,18.0,"sushi, thailändisch",asian
SAM'S Pizza Land Zürich,4.1,18.0,"italienische pizza, amerikanische pizza",european
Saravanaa Bhavan Zurich,4.4,18.0,"indisch, vegan",asian
N-68,3.6,18.0,"italienisch, burger",american
Restaurant 1001,4.1,18.0,kebab,middle_eastern
ZFC Zürich,3.9,40.0,"hühnchen, burger",american
3 Men's Kebab,4.4,18.0,"türkisch, kebab",middle_eastern
Da Raffaele,4.1,18.0,"italienisch, italienische pizza",european
Haru Korean,4.5,18.0,asiatisch,asian
Dunkin' Donuts HB,3.9,18.0,"frühstück, amerikanisch",american
Sesam Falafel,3.9,18.0,"türkisch, kebab",middle_eastern
Só Tea,4.4,20.0,"asiatisch, nachspeisen",asian
OH MY GREEK! Zürich Hauptbahnhof,4.7,18.0,"vegetarisch, griechisch",european
Nep Asian Kitchen,4.4,18.0,"thailändisch, asiatisch",asian
Burek Bakery Zürich,4.7,30.0,balkanküche,european
Style Thai,4.4,18.0,"thailändisch, asiatisch",asian
Wesley's Kitchen HB,4.4,18.0,"indisch, dumplings",asian
Food Corner Niederdorf,3.0,18.0,"kebab, burger",middle_eastern
Zentral Thai Restaurant & Takeaway,4.2,18.0,"asiatisch, thailändisch",asian
Via del gusto 28,4.8,20.0,"italienisch, frühstück",european
Cindys Bistro - Afro Deli,4.3,20.0,afrikanisch,african
Tadka Indisches Restaurant,4.5,20.0,"indisch, angebote",asian
McDonald's® Zürich Badenerstrasse,3.9,20.0,"amerikanisch, burger",american
Cima Asia Take Away,4.3,20.0,"indisch, asiatisch",asian
Pizzeria Molino Select Limmatquai,3.6,20.0,"italienisch, italienische pizza",european
SPAR Express,3.8,0.0,"frühstück, lebensmittel",grocery_retail
Neni,4.4,20.0,arabisch,middle_eastern
Cucina Niederdorf,3.7,20.0,"italienisch, pasta",european
Burgermeister Oberdorf,4.3,20.0,"burger, amerikanisch",american
Thali House,4.9,60.0,"indisch, fisch",asian
ONA POKÉ Bleicherweg,3.8,20.0,"vegetarisch, meeresfrüchte",other
Mighty Bites,3.7,18.0,"getränke snacks, smoothies",other
Dont Worry Eat Curry,4.7,20.0,"indisch, vegetarisch",asian
Khujug Bubble Tea,4.3,20.0,"kaffee, bubble tea",other
HUNCHO,4.3,20.0,burger,american
Restaurant Vulkan,4.6,18.0,"thailändisch, indisch",asian
Da Pepino Express,4.7,30.0,"italienische pizza, pasta",european
Kana (fried chicken),4.8,20.0,"hühnchen, burger",american
Zekisworld (Limmatplatz),3.9,20.0,kebab,middle_eastern
Miki Burgers,4.0,30.0,"italienische pizza, burger",american
Habesha Restaurant,4.5,20.0,afrikanisch,african
Bilo Bistro,4.4,20.0,"italienische pizza, kebab",middle_eastern
Maadan Bakery,4.7,20.0,"italienisch, italienische pizza",european
Phuket,4.4,20.0,"thailändisch, asiatisch",asian
Cô Ba Canteen,4.7,20.0,"asiatisch, asiatisch",asian
Pizza Pizza Kurier,4.4,30.0,"italienisch, italienische pizza",european
Vegitat Cigköfte,4.6,20.0,"vegan, vegetarisch",other
Kiosk Kalkbreite & Takeaway,3.9,20.0,"italienische pizza, kebab",middle_eastern
Thali Indian Restaurant,4.8,60.0,"indisch, hühnchen",asian
THE SMASH,4.2,20.0,"amerikanisch, burger",american
Bund 39,4.2,20.0,"dumplings, asiatisch",asian
Pizza Casa Original,4.8,25.0,"italienisch, italienische pizza",european
HappyPockets© Zürich,3.8,30.0,"snacks, wraps",american
Taste of Africa,4.3,20.0,"fisch, afrikanisch",african
Ristorante Pizzeria L'Artista Zürich,3.8,30.0,"italienische pizza, vegan",european
BURGER KING ® Zürich Bahnhof,3.7,18.0,"amerikanisch, burger",american
Peking Garden Langstrasse,4.5,20.0,"chinesisch, thailändisch",asian
Indian Restaurant Kormasutra,4.9,60.0,"indisch, vegetarisch",asian
Fulin Asia Kitchen,4.7,25.0,"chinesisch, thailändisch",asian
Burgermeister Limmatplatz,3.8,20.0,"amerikanisch, burger",american
Pizzakurier Lochergut,4.7,30.0,"italienische pizza, döner",middle_eastern
Quick Zürich,4.2,40.0,"alkohol, getränke snacks",other
Food Paradise,3.4,50.0,"alkohol, getränke snacks",other
The Lounge at Park Hyatt Zurich,2.6,20.0,"burger, sandwiches",american
Cani's Pizza Kurier,4.1,30.0,"italienisch, italienische pizza",european
Pizzeria Bella Napoli,4.7,35.0,"italienisch, italienische pizza",european
House of Momos Enge,3.7,45.0,"dumplings, asiatisch",asian
McDonald's® Zürich Langstrasse,3.6,20.0,"amerikanisch, burger",american
Restaurant Indian BBQ,4.3,20.0,"indisch, asiatisch",asian
Pho 50 Stauffacherstrasse,4.0,20.0,"vietnamesisch, suppen",asian
Spizzati Pizzeria & Piadineria,4.5,30.0,"italienisch, italienische pizza",european
Maneez,4.3,20.0,"indisch, hühnchen",asian
Restaurant Damas Wipkingen,4.2,20.0,"arabisch, falafel",middle_eastern
Just Pizza,4.3,35.0,"italienische pizza, italienische pizza",european
Just Burger,4.1,35.0,"amerikanisch, burger",american
Restaurant Pizzeria Monti,4.9,60.0,"italienische pizza, burger",american
Tamarind Garden,4.5,30.0,"indisch, vegetarisch",asian
Pimp your Pizza,4.8,20.0,"italienische pizza, amerikanische pizza",european
baba's döner (vom Holzkohlegrill),4.5,30.0,kebab,middle_eastern
MEIXIN,4.1,20.0,"chinesisch, asiatisch",asian
Pizza Bros Zürich,4.3,80.0,"italienische pizza, kebab",middle_eastern
Friends Corner,4.6,20.0,"indisch, vegetarisch",asian
House of Momos Binz,3.7,45.0,"asiatisch, vegetarisch",asian
LOLIPOP,4.4,0.0,"lebensmittel, geschäfte",grocery_retail
Imperial Garden x Nota Sushi,5.0,150.0,"sushi, asiatisch",asian
JUST SMASHED© Zürich Wiedikon,3.6,35.0,"amerikanisch, burger",american
Tibetaner MOMO,4.9,30.0,"dumplings, asiatisch",asian
Spizzati Pizzeria & Piadineria 2,4.6,40.0,"italienisch, italienische pizza",european
Allegrotto Pizza Kurier,5.0,20.0,falafel,middle_eastern
Spaccio - Löwenstrasse,4.3,18.0,"italienisch, italienische pizza",european
Happen Afro Restaurant,5.0,20.0,"afrikanisch, angebote",african
LOMO,3.6,40.0,"asiatisch, momos",asian
Europa Restaurant & Piano Bar,4.8,20.0,"italienisch, italienische pizza",european
Restaurant & Cafe Schmiede,4.3,20.0,"libanesisch, frühstück",middle_eastern
Hang's Vietnamese Cuisine,4.7,20.0,"vietnamesisch, asiatisch",asian
Suan Long Seefeld,4.2,20.0,"chinesisch, thailändisch",asian
Metzgerei Keller,4.9,0.0,"lebensmittel, angebote",grocery_retail
Pizzeria Molino Stauffacher,4.3,20.0,"italienisch, italienische pizza",european
Centro Pizza,3.7,50.0,"asiatisch, italienische pizza",asian
Bebo's Beef & Chicken,4.2,20.0,"hühnchen, kebab",middle_eastern
Blume 3000 - Fleurop,3.3,0.0,"lebensmittel, angebote",grocery_retail
Tacos Plaza,4.2,20.0,"mexikanisch, hühnchen",american
SUBWAY Zürich Langstrasse,3.9,20.0,"snacks, sandwiches",american
Pizzeria Felice,3.9,55.0,"italienisch, italienische pizza",european
Pizzeria La Fammy,4.2,50.0,"italienisch, italienische pizza",european
Xi Muoi - Viet Nam Restaurant,4.6,20.0,"vietnamesisch, asiatisch",asian
Pizza Binz Levante Küche,4.9,50.0,"italienische pizza, arabisch",middle_eastern
SPAR Supermarkt,3.7,0.0,"frühstück, lebensmittel",grocery_retail
Piro Langstrasse,1.7,20.0,"italienische pizza, burger",american
Restaurant Damas Josefstrasse,4.1,20.0,"arabisch, falafel",middle_eastern
Tenz Momo Lochergut,4.7,20.0,"asiatisch, momos",asian
Sprit n more 7/24 Shop Tabak,5.0,150.0,"alkohol, getränke snacks",other
Ying Cusine,4.9,20.0,"sushi, japanisch",asian
S-Family Restaurant,4.7,20.0,"afrikanisch, traditionell",african
Little Spice Indian Kitchen,4.7,20.0,"indisch, halal, vegan",asian
Kuku Kitchen,3.0,20.0,"asiatisch, momos",asian
Delhi House of Best Curry,4.7,40.0,"indisch, halal, vegan",asian
Winti Sprit,4.8,120.0,"alkohol, getränke snacks",other
