name,rating,minimum_clean,primary_cuisine_group,cuisine_groups
Happen Afro Restaurant,5.0,20.0,african,african
Restaurant Mesob,4.9,20.0,african,african
S-Family Restaurant,4.7,20.0,african,african
Habesha Restaurant,4.5,20.0,african,african
Cindys Bistro - Afro Deli,4.3,20.0,african,african
Taste of Africa,4.3,20.0,african,african
Cafe Bar Balkan,5.0,35.0,american,american
Restaurant Pizzeria Monti,4.9,60.0,american,"american, european"
Kana (fried chicken),4.8,20.0,american,american
Pimp your Pizza,4.8,20.0,american,"american, european"
Holy Cow! Gourmet Burger Co. ZÜRICH ZÄHRINGERSTRASSE,4.7,18.0,american,american
Big Burger Kurier Zürich,4.5,30.0,american,american
Nelson's Kitchen,4.4,18.0,american,american
ZFC Zurich Fried Chicken,4.4,40.0,american,american
McDonald's® Zürich Stadelhofen,4.4,20.0,american,american
Tayyeb Burger (Zürich),4.4,30.0,american,american
Burgermeister Enge,4.4,20.0,american,american
McDonald's® Zürich Oerlikon,4.4,30.0,american,american
Black Tap Craft Burgers & Beer Zurich,4.3,18.0,american,american
Action Burger,4.3,18.0,american,american
Burgermeister Oberdorf,4.3,20.0,american,american
HUNCHO,4.3,20.0,american,american
THE SMASH,4.2,20.0,american,american
Burger & Shakes,4.2,25.0,american,american
McDonald's® Zürich Löwenstrasse,4.1,18.0,american,american
SUBWAY Zürich HB,4.1,18.0,american,american
SAM'S Pizza Land Zürich,4.1,18.0,american,"american, european"
Just Burger,4.1,35.0,american,american
SUBWAY Oerlikon,4.1,30.0,american,american
Miki Burgers,4.0,30.0,american,"american, european"
BURGER KING ® Europaallee,4.0,18.0,american,american
BURGER KING ® Oerlikon,4.0,25.0,american,american
Burgermeister Oerlikon,4.0,25.0,american,american
BURGER KING ® Zürich Gleis 18,3.9,18.0,american,american
ZFC Zürich,3.9,40.0,american,american
Dunkin' Donuts HB,3.9,18.0,american,american
McDonald's® Zürich Badenerstrasse,3.9,20.0,american,american
SUBWAY Zürich Langstrasse,3.9,20.0,american,american
Dunkin' Donuts Bellevue,3.9,20.0,american,american
Burgermeister Limmatplatz,3.8,20.0,american,american
BURGER KING ® Zürich Bahnhof,3.7,18.0,american,american
McDonald's® Zürich Tessinerplatz,3.7,20.0,american,american
N-68,3.6,18.0,american,"american, european"
McDonald's® Zürich Langstrasse,3.6,20.0,american,american
JUST SMASHED© Zürich Wiedikon,3.6,35.0,american,american
MrBeast Burger© Zürich,3.3,30.0,american,american
The Lounge at Park Hyatt Zurich,2.6,20.0,american,american
Restaurant Altstetten,2.3,30.0,american,"american, european"
Piro Langstrasse,1.7,20.0,american,"american, european"
Imperial Garden x Nota Sushi,5.0,150.0,asian,asian
Thali House,4.9,60.0,asian,asian
Indian Restaurant Kormasutra,4.9,60.0,asian,"asian, dietary_lifestyle"
Tibetaner MOMO,4.9,30.0,asian,asian
Ying Cusine,4.9,20.0,asian,asian
Thali Indian Restaurant,4.8,60.0,asian,asian
Spice Village,4.8,40.0,asian,asian
Dont Worry Eat Curry,4.7,20.0,asian,"asian, dietary_lifestyle"
Cô Ba Canteen,4.7,20.0,asian,asian
Fulin Asia Kitchen,4.7,25.0,asian,asian
Hang's Vietnamese Cuisine,4.7,20.0,asian,asian
Tenz Momo Lochergut,4.7,20.0,asian,asian
Little Spice Indian Kitchen,4.7,20.0,asian,"asian, dietary_lifestyle"
